jahr;schluessel;typ;gemeinde;amt_id;amt;landkreis_id;landkreis;region_id;region;einwohner_gesamt_anzahl;"Biomasse_Anlagenanzahl (Wärme)";Biomasse_thermische_Leistung_kW;Biomasse_thermische_Arbeit_kWh;Solarthermie_Anlagenanzahl;Solarthermie_thermische_Leistung_kW;Solarthermie_thermische_Arbeit_kWh;Wärmepumpe_Anlagenanzahl;Wärmepumpe_thermische_Leistung_kW;Wärmepumpe_thermische_Arbeit_kWh;Klärgas_Anlagenanzahl;Klärgas_thermische_Leistung_kW;Klärgas_thermische_Arbeit_kWh;Deponiegas_Anlagenanzahl;Deponiegas_thermische_Leistung_kW;Deponiegas_thermische_Arbeit_kWh;Biomasseheizwerk_Anlagenanzahl;Biomasseheizwerk_thermische_Leistung_kW;Biomasseheizwerk_thermische_Arbeit_kWh;Biomasseheizkraftwerk_Anlagenanzahl;Biomasseheizkraftwerk_thermische_Leistung_kW;Biomasseheizkraftwerk_thermische_Arbeit_kWh;Anzahl_Summe_Wärmeerzeugung;Leistung_kW_Summe_Wärmeerzeugung;Thermische_Arbeit_kWh_Summe_Wärmeerzeugung;Quelle_Wärmeerzeugung;"Biomasse_Anlagenanzahl (Strom)";Biomasse_elektrische_Leistung_kW;Biomasse_elektrische_Arbeit_kWh;Solar_Anlagenanzahl;Solar_elektrische_Leistung_kW;Solar_elektrische_Arbeit_kWh;Wasser_Anlagenanzahl;Wasser_elektrische_Leistung_kW;Wasser_elektrische_Arbeit_kWh;Wind_Anlagenanzahl;Wind_elektrische_Leistung_kW;Wind_elektrische_Arbeit_kWh;Gesamt_Anlagenanzahl;Gesamt_elektrische_Leistung_kW;Gesamt_elektrische_Arbeit_kWh;Quelle_Stromerzeugung
2010;12069020;"Amtsfreie Stadt";"Bad Belzig";;;12069000;Potsdam-Mittelmark;1;Havelland-Fläming;11248;28,00;782,10;1407780,00;110,00;733,90;414931,40;10,00;85,80;105705,60;;;;;;;;;;;;;148,0000000000;1601,8000000000;1928417,0000000000;"Bundesamt für Wirtschaft und Ausfuhrkontrolle - Auswertung bafa-Förderdatenbank Biomasse-Anlagen, Energieagentur Brandenburg - eigene Aufbereitung (Stand: 15.11.2019) | Bundesamt für Wirtschaft und Ausfuhrkontrolle - Auswertung bafa-Förderdatenbank Solarthermie-Anlagen, Energieagentur Brandenburg - eigene Aufbereitung (Stand: 05.07.2022) | Bundesamt für Wirtschaft und Ausfuhrkontrolle - Auswertung bafa-Förderdatenbank Wärmepumpe, Energieagentur Brandenburg - eigene Aufbereitung (Stand: 15.11.2019)";3;1094,0000;8396372,0000;120;3000,7950;1627159,7219;1;18,5000;39462,0000;;;;124;4113,2950;10062993,7219;"Marktstammdatenregister der Bundesnetzagentur (Stand: 14.12.2021), Marktstammdatenregister der Bundesnetzagentur - Aktualisierung (Stand: 13.03.2023), Marktstammdatenregister der Bundesnetzagentur - Korrektur durch Energieagentur Brandenburg (Stand: 23.03.2023) | 50Hertz Transmission GmbH - EEG-Jahresabrechnung - Bewegungsdaten (Stand: 01.05.2015) | Energieagentur Brandenburg - eigene Berechnung der Schätzung"
2011;12069020;"Amtsfreie Stadt";"Bad Belzig";;;12069000;Potsdam-Mittelmark;1;Havelland-Fläming;11161;31,00;844,10;1519380,00;118,00;787,00;470133,70;10,00;85,80;107507,40;;;;;;;;;;;;;159,0000000000;1716,9000000000;2097021,1000000000;"Bundesamt für Wirtschaft und Ausfuhrkontrolle - Auswertung bafa-Förderdatenbank Biomasse-Anlagen, Energieagentur Brandenburg - eigene Aufbereitung (Stand: 15.11.2019) | Bundesamt für Wirtschaft und Ausfuhrkontrolle - Auswertung bafa-Förderdatenbank Solarthermie-Anlagen, Energieagentur Brandenburg - eigene Aufbereitung (Stand: 05.07.2022) | Bundesamt für Wirtschaft und Ausfuhrkontrolle - Auswertung bafa-Förderdatenbank Wärmepumpe, Energieagentur Brandenburg - eigene Aufbereitung (Stand: 15.11.2019)";3;1094,0000;5530944,0000;178;5234,5230;2978821,6602;2;33,5000;29655,0000;;;;183;6362,0230;8539420,6602;"Marktstammdatenregister der Bundesnetzagentur (Stand: 14.12.2021), Marktstammdatenregister der Bundesnetzagentur - Aktualisierung (Stand: 13.03.2023), Marktstammdatenregister der Bundesnetzagentur - Korrektur durch Energieagentur Brandenburg (Stand: 23.03.2023) | 50Hertz Transmission GmbH - EEG-Jahresabrechnung - Bewegungsdaten (Stand: 15.02.2013) | Energieagentur Brandenburg - eigene Berechnung der Schätzung"
2012;12069020;"Amtsfreie Stadt";"Bad Belzig";;;12069000;Potsdam-Mittelmark;1;Havelland-Fläming;11119;40,00;1063,30;1913940,00;129,00;885,70;511449,50;19,00;188,40;238137,60;;;;;;;;;;;;;188,0000000000;2137,4000000000;2663527,1000000000;"Bundesamt für Wirtschaft und Ausfuhrkontrolle - Auswertung bafa-Förderdatenbank Biomasse-Anlagen, Amt für Statistik Berlin-Brandenburg - Auswertung Baufertigstellungen neuer Wohn- und Nichtwohngebäude nach Gebäudeart und verwendeter Energie zur Heizung, Energieagentur Brandenburg - eigene Aufbereitung (Stand: 15.11.2019) | Bundesamt für Wirtschaft und Ausfuhrkontrolle - Auswertung bafa-Förderdatenbank Solarthermie-Anlagen, Amt für Statistik Berlin-Brandenburg - Auswertung Baufertigstellungen neuer Wohn- und Nichtwohngebäude nach Gebäudeart und verwendeter Energie zur Heizung, Energieagentur Brandenburg - eigene Aufbereitung (Stand: 05.07.2022) | Bundesamt für Wirtschaft und Ausfuhrkontrolle - Auswertung bafa-Förderdatenbank Wärmepumpen, Amt für Statistik Berlin-Brandenburg - Auswertung Baufertigstellungen neuer Wohn- und Nichtwohngebäude nach Gebäudeart und verwendeter Energie zur Heizung, Energieagentur Brandenburg - eigene Aufbereitung (Stand: 15.11.2019)";4;1494,0000;6461522,0000;209;5974,5530;3931659,4889;2;33,5000;7083,0000;;;;215;7502,0530;10400264,4889;"Marktstammdatenregister der Bundesnetzagentur (Stand: 14.12.2021), Marktstammdatenregister der Bundesnetzagentur - Aktualisierung (Stand: 13.03.2023), Marktstammdatenregister der Bundesnetzagentur - Korrektur durch Energieagentur Brandenburg (Stand: 23.03.2023) | 50Hertz Transmission GmbH - EEG-Jahresabrechnung - Bewegungsdaten (Stand: 05.09.2013) | Energieagentur Brandenburg - eigene Berechnung der Schätzung"
2013;12069020;"Amtsfreie Stadt";"Bad Belzig";;;12069000;Potsdam-Mittelmark;1;Havelland-Fläming;11056;55,00;1424,70;2564460,00;137,00;952,50;523239,50;22,00;221,50;283741,50;;;;;;;;;;;;;214,0000000000;2598,7000000000;3371441,0000000000;"Bundesamt für Wirtschaft und Ausfuhrkontrolle - Auswertung bafa-Förderdatenbank Biomasse-Anlagen, Amt für Statistik Berlin-Brandenburg - Auswertung Baufertigstellungen neuer Wohn- und Nichtwohngebäude nach Gebäudeart und verwendeter Energie zur Heizung, Energieagentur Brandenburg - eigene Aufbereitung (Stand: 15.11.2019) | Bundesamt für Wirtschaft und Ausfuhrkontrolle - Auswertung bafa-Förderdatenbank Solarthermie-Anlagen, Amt für Statistik Berlin-Brandenburg - Auswertung Baufertigstellungen neuer Wohn- und Nichtwohngebäude nach Gebäudeart und verwendeter Energie zur Heizung, Energieagentur Brandenburg - eigene Aufbereitung (Stand: 05.07.2022) | Bundesamt für Wirtschaft und Ausfuhrkontrolle - Auswertung bafa-Förderdatenbank Wärmepumpen, Amt für Statistik Berlin-Brandenburg - Auswertung Baufertigstellungen neuer Wohn- und Nichtwohngebäude nach Gebäudeart und verwendeter Energie zur Heizung, Energieagentur Brandenburg - eigene Aufbereitung (Stand: 15.11.2019)";4;1494,0000;6173670,0000;219;6148,7030;4762272,1406;2;33,5000;21692,0000;;;;225;7676,2030;10957634,1406;"Marktstammdatenregister der Bundesnetzagentur (Stand: 14.12.2021), Marktstammdatenregister der Bundesnetzagentur - Aktualisierung (Stand: 13.03.2023), Marktstammdatenregister der Bundesnetzagentur - Korrektur durch Energieagentur Brandenburg (Stand: 23.03.2023) | 50Hertz Transmission GmbH - EEG-Jahresabrechnung - Bewegungsdaten (Stand: 29.07.2014) | Energieagentur Brandenburg - eigene Berechnung der Schätzung"
2014;12069020;"Amtsfreie Stadt";"Bad Belzig";;;12069000;Potsdam-Mittelmark;1;Havelland-Fläming;10916;72,00;1916,60;3449880,00;140,00;974,80;549142,90;28,00;288,40;373280,18;;;;;;;;;;;;;240,0000000000;3179,8000000000;4372303,0800000000;"Bundesamt für Wirtschaft und Ausfuhrkontrolle - Auswertung bafa-Förderdatenbank Biomasse-Anlagen, Amt für Statistik Berlin-Brandenburg - Auswertung Baufertigstellungen neuer Wohn- und Nichtwohngebäude nach Gebäudeart und verwendeter Energie zur Heizung, Energieagentur Brandenburg - eigene Aufbereitung (Stand: 15.11.2019) | Bundesamt für Wirtschaft und Ausfuhrkontrolle - Auswertung bafa-Förderdatenbank Solarthermie-Anlagen, Amt für Statistik Berlin-Brandenburg - Auswertung Baufertigstellungen neuer Wohn- und Nichtwohngebäude nach Gebäudeart und verwendeter Energie zur Heizung, Energieagentur Brandenburg - eigene Aufbereitung (Stand: 05.07.2022) | Bundesamt für Wirtschaft und Ausfuhrkontrolle - Auswertung bafa-Förderdatenbank Wärmepumpen, Amt für Statistik Berlin-Brandenburg - Auswertung Baufertigstellungen neuer Wohn- und Nichtwohngebäude nach Gebäudeart und verwendeter Energie zur Heizung, Energieagentur Brandenburg - eigene Aufbereitung (Stand: 15.11.2019)";5;1531,0000;7167522,0000;235;6300,5530;5352661,8332;2;33,5000;25396,0000;;;;242;7865,0530;12545579,8332;"Marktstammdatenregister der Bundesnetzagentur (Stand: 14.12.2021), Marktstammdatenregister der Bundesnetzagentur - Aktualisierung (Stand: 13.03.2023), Marktstammdatenregister der Bundesnetzagentur - Korrektur durch Energieagentur Brandenburg (Stand: 23.03.2023) | 50Hertz Transmission GmbH - EEG-Jahresabrechnung - Bewegungsdaten (Stand: 01.05.2015) | Energieagentur Brandenburg - eigene Berechnung der Schätzung"
2015;12069020;"Amtsfreie Stadt";"Bad Belzig";;;12069000;Potsdam-Mittelmark;1;Havelland-Fläming;11120;80,00;2203,30;3965940,00;144,00;1004,10;581698,00;30,00;310,00;403401,07;;;;;;;;;;;;;254,0000000000;3517,4000000000;4951039,0700000000;"Bundesamt für Wirtschaft und Ausfuhrkontrolle - Auswertung bafa-Förderdatenbank Biomasse-Anlagen, Amt für Statistik Berlin-Brandenburg - Auswertung Baufertigstellungen neuer Wohn- und Nichtwohngebäude nach Gebäudeart und verwendeter Energie zur Heizung, Energieagentur Brandenburg - eigene Aufbereitung (Stand: 15.11.2019) | Bundesamt für Wirtschaft und Ausfuhrkontrolle - Auswertung bafa-Förderdatenbank Solarthermie-Anlagen, Amt für Statistik Berlin-Brandenburg - Auswertung Baufertigstellungen neuer Wohn- und Nichtwohngebäude nach Gebäudeart und verwendeter Energie zur Heizung, Energieagentur Brandenburg - eigene Aufbereitung (Stand: 05.07.2022) | Bundesamt für Wirtschaft und Ausfuhrkontrolle - Auswertung bafa-Förderdatenbank Wärmepumpen, Amt für Statistik Berlin-Brandenburg - Auswertung Baufertigstellungen neuer Wohn- und Nichtwohngebäude nach Gebäudeart und verwendeter Energie zur Heizung, Energieagentur Brandenburg - eigene Aufbereitung (Stand: 15.11.2019)";5;1531,0000;7288328,0000;248;6482,1680;5658978,7952;2;33,5000;34841,0000;;;;255;8046,6680;12982147,7952;"Marktstammdatenregister der Bundesnetzagentur (Stand: 14.12.2021), Marktstammdatenregister der Bundesnetzagentur - Aktualisierung (Stand: 13.03.2023), Marktstammdatenregister der Bundesnetzagentur - Korrektur durch Energieagentur Brandenburg (Stand: 23.03.2023) | 50Hertz Transmission GmbH - EEG-Jahresabrechnung - Bewegungsdaten (Stand: 01.09.2016) | Energieagentur Brandenburg - eigene Berechnung der Schätzung"
2016;12069020;"Amtsfreie Stadt";"Bad Belzig";;;12069000;Potsdam-Mittelmark;1;Havelland-Fläming;11113;97,00;2588,20;4658760,00;155,00;1072,90;597873,80;30,00;310,00;402160,79;;;;;;;;;;;;;282,0000000000;3971,1000000000;5658794,5900000000;"Bundesamt für Wirtschaft und Ausfuhrkontrolle - Auswertung bafa-Förderdatenbank Biomasse-Anlagen, Amt für Statistik Berlin-Brandenburg - Auswertung Baufertigstellungen neuer Wohn- und Nichtwohngebäude nach Gebäudeart und verwendeter Energie zur Heizung, Energieagentur Brandenburg - eigene Aufbereitung (Stand: 15.11.2019) | Bundesamt für Wirtschaft und Ausfuhrkontrolle - Auswertung bafa-Förderdatenbank Solarthermie-Anlagen, Amt für Statistik Berlin-Brandenburg - Auswertung Baufertigstellungen neuer Wohn- und Nichtwohngebäude nach Gebäudeart und verwendeter Energie zur Heizung, Energieagentur Brandenburg - eigene Aufbereitung (Stand: 05.07.2022) | Bundesamt für Wirtschaft und Ausfuhrkontrolle - Auswertung bafa-Förderdatenbank Wärmepumpen, Amt für Statistik Berlin-Brandenburg - Auswertung Baufertigstellungen neuer Wohn- und Nichtwohngebäude nach Gebäudeart und verwendeter Energie zur Heizung, Energieagentur Brandenburg - eigene Aufbereitung (Stand: 15.11.2019)";5;1531,0000;6645325,0000;261;6589,3430;5770467,8075;2;33,5000;40758,0000;;;;268;8153,8430;12456550,8075;"Marktstammdatenregister der Bundesnetzagentur (Stand: 14.12.2021), Marktstammdatenregister der Bundesnetzagentur - Aktualisierung (Stand: 13.03.2023), Marktstammdatenregister der Bundesnetzagentur - Korrektur durch Energieagentur Brandenburg (Stand: 23.03.2023) | 50Hertz Transmission GmbH - EEG-Jahresabrechnung - Bewegungsdaten (Stand: 17.10.2017) | Energieagentur Brandenburg - eigene Berechnung der Schätzung"
2017;12069020;"Amtsfreie Stadt";"Bad Belzig";;;12069000;Potsdam-Mittelmark;1;Havelland-Fläming;11126;114,00;3156,50;5681700,00;163,00;1110,90;619098,70;39,00;390,10;509496,72;;;;;;;;;;;;;316,0000000000;4657,5000000000;6810295,4200000000;"Bundesamt für Wirtschaft und Ausfuhrkontrolle - Auswertung bafa-Förderdatenbank Biomasse-Anlagen, Amt für Statistik Berlin-Brandenburg - Auswertung Baufertigstellungen neuer Wohn- und Nichtwohngebäude nach Gebäudeart und verwendeter Energie zur Heizung, Energieagentur Brandenburg - eigene Aufbereitung (Stand: 06.05.2020) | Bundesamt für Wirtschaft und Ausfuhrkontrolle - Auswertung bafa-Förderdatenbank Solarthermie-Anlagen, Amt für Statistik Berlin-Brandenburg - Auswertung Baufertigstellungen neuer Wohn- und Nichtwohngebäude nach Gebäudeart und verwendeter Energie zur Heizung, Energieagentur Brandenburg - eigene Aufbereitung (Stand: 05.07.2021) | Bundesamt für Wirtschaft und Ausfuhrkontrolle - Auswertung bafa-Förderdatenbank Wärmepumpen, Amt für Statistik Berlin-Brandenburg - Auswertung Baufertigstellungen neuer Wohn- und Nichtwohngebäude nach Gebäudeart und verwendeter Energie zur Heizung, Energieagentur Brandenburg - eigene Aufbereitung (Stand: 06.05.2020)";5;1531,0000;6802933,0000;276;7434,1680;5856117,6962;2;33,5000;25804,0000;;;;283;8998,6680;12684854,6962;"Marktstammdatenregister der Bundesnetzagentur (Stand: 14.12.2021), Marktstammdatenregister der Bundesnetzagentur - Aktualisierung (Stand: 13.03.2023), Marktstammdatenregister der Bundesnetzagentur - Korrektur durch Energieagentur Brandenburg (Stand: 23.03.2023) | Informationsplattform der vier deutschen Übertragungsnetzbetreiber - EEG-Jahresabrechnung - Bewegungsdaten, Energieagentur Brandenburg - eigene Aufbereitung (Stand: 02.11.2018) | Energieagentur Brandenburg - eigene Berechnung der Schätzung"
2018;12069020;"Amtsfreie Stadt";"Bad Belzig";;;12069000;Potsdam-Mittelmark;1;Havelland-Fläming;11144;121,00;3356,50;6041700,00;169,00;1176,60;720401,30;44,00;423,40;555182,28;;;;;;;;;;;;;334,0000000000;4956,5000000000;7317283,5800000000;"Bundesamt für Wirtschaft und Ausfuhrkontrolle - Auswertung bafa-Förderdatenbank Biomasse-Anlagen, Amt für Statistik Berlin-Brandenburg - Auswertung Baufertigstellungen neuer Wohn- und Nichtwohngebäude nach Gebäudeart und verwendeter Energie zur Heizung, Energieagentur Brandenburg - eigene Aufbereitung (Stand: 06.05.2020) | Bundesamt für Wirtschaft und Ausfuhrkontrolle - Auswertung bafa-Förderdatenbank Solarthermie-Anlagen, Amt für Statistik Berlin-Brandenburg - Auswertung Baufertigstellungen neuer Wohn- und Nichtwohngebäude nach Gebäudeart und verwendeter Energie zur Heizung, Energieagentur Brandenburg - eigene Aufbereitung (Stand: 05.07.2021) | Bundesamt für Wirtschaft und Ausfuhrkontrolle - Auswertung bafa-Förderdatenbank Wärmepumpen, Amt für Statistik Berlin-Brandenburg - Auswertung Baufertigstellungen neuer Wohn- und Nichtwohngebäude nach Gebäudeart und verwendeter Energie zur Heizung, Energieagentur Brandenburg - eigene Aufbereitung (Stand: 06.05.2020)";5;1531,0000;6376456,0000;315;9640,5680;7594844,6466;2;33,5000;13793,0000;;;;322;11205,0680;13985093,6466;"Marktstammdatenregister der Bundesnetzagentur (Stand: 14.12.2021), Marktstammdatenregister der Bundesnetzagentur - Aktualisierung (Stand: 13.03.2023), Marktstammdatenregister der Bundesnetzagentur - Korrektur durch Energieagentur Brandenburg (Stand: 23.03.2023) | Informationsplattform der vier deutschen Übertragungsnetzbetreiber - EEG-Jahresabrechnung - Bewegungsdaten, Energieagentur Brandenburg - eigene Aufbereitung (Stand: 02.08.2019) | Energieagentur Brandenburg - eigene Berechnung der Schätzung"
2019;12069020;"Amtsfreie Stadt";"Bad Belzig";;;12069000;Potsdam-Mittelmark;1;Havelland-Fläming;11141;132,00;3676,00;6616800,00;175,00;1204,20;695090,20;66,00;594,90;778286,16;;;;;;;;;;;;;373,0000000000;5475,1000000000;8090176,3600000000;"Bundesamt für Wirtschaft und Ausfuhrkontrolle - Auswertung bafa-Förderdatenbank Biomasse-Anlagen, Amt für Statistik Berlin-Brandenburg - Auswertung Baufertigstellungen neuer Wohn- und Nichtwohngebäude nach Gebäudeart und verwendeter Energie zur Heizung, Energieagentur Brandenburg - eigene Aufbereitung (Stand: 15.06.2021) | Bundesamt für Wirtschaft und Ausfuhrkontrolle - Auswertung bafa-Förderdatenbank Solarthermie-Anlagen, Amt für Statistik Berlin-Brandenburg - Auswertung Baufertigstellungen neuer Wohn- und Nichtwohngebäude nach Gebäudeart und verwendeter Energie zur Heizung, Energieagentur Brandenburg - eigene Aufbereitung (Stand: 05.07.2022) | Bundesamt für Wirtschaft und Ausfuhrkontrolle - Auswertung bafa-Förderdatenbank Wärmepumpen, Amt für Statistik Berlin-Brandenburg - Auswertung Baufertigstellungen neuer Wohn- und Nichtwohngebäude nach Gebäudeart und verwendeter Energie zur Heizung, Energieagentur Brandenburg - eigene Aufbereitung (Stand: 23.06.2021)";6;2131,0000;8061451,0001;354;13176,3780;8881855,8080;2;33,5000;16838,0000;;;;362;15340,8780;16960144,8081;"Marktstammdatenregister der Bundesnetzagentur (Stand: 14.12.2021), Marktstammdatenregister der Bundesnetzagentur - Aktualisierung (Stand: 13.03.2023), Marktstammdatenregister der Bundesnetzagentur - Korrektur durch Energieagentur Brandenburg (Stand: 23.03.2023) | Informationsplattform der vier deutschen Übertragungsnetzbetreiber - EEG-Jahresabrechnung - Bewegungsdaten, Energieagentur Brandenburg - eigene Aufbereitung (Stand: 31.08.2020) | Energieagentur Brandenburg - eigene Berechnung der Schätzung"
2020;12069020;"Amtsfreie Stadt";"Bad Belzig";;;12069000;Potsdam-Mittelmark;1;Havelland-Fläming;11096;146,00;4047,90;7286220,00;186,00;1283,80;744831,60;78,00;683,90;894431,16;;;;;;;;;;;;;410,0000000000;6015,6000000000;8925482,7600000000;"Bundesamt für Wirtschaft und Ausfuhrkontrolle - Auswertung bafa-Förderdatenbank Biomasse-Anlagen, Amt für Statistik Berlin-Brandenburg - Auswertung Baufertigstellungen neuer Wohn- und Nichtwohngebäude nach Gebäudeart und verwendeter Energie zur Heizung, Energieagentur Brandenburg - eigene Aufbereitung (Stand: 05.07.2022) | Bundesamt für Wirtschaft und Ausfuhrkontrolle - Auswertung bafa-Förderdatenbank Solarthermie-Anlagen, Amt für Statistik Berlin-Brandenburg - Auswertung Baufertigstellungen neuer Wohn- und Nichtwohngebäude nach Gebäudeart und verwendeter Energie zur Heizung, Energieagentur Brandenburg - eigene Aufbereitung (Stand: 05.07.2022) | Bundesamt für Wirtschaft und Ausfuhrkontrolle - Auswertung bafa-Förderdatenbank Wärmepumpen, Amt für Statistik Berlin-Brandenburg - Auswertung Baufertigstellungen neuer Wohn- und Nichtwohngebäude nach Gebäudeart und verwendeter Energie zur Heizung, Energieagentur Brandenburg - eigene Aufbereitung (Stand: 05.07.2022)";6;2131,0000;8711291,0000;394;15770,6110;13364070,0065;2;33,5000;12297,0000;;;;402;17935,1110;22087658,0065;"Marktstammdatenregister der Bundesnetzagentur (Stand: 14.12.2021), Marktstammdatenregister der Bundesnetzagentur - Aktualisierung (Stand: 13.03.2023), Marktstammdatenregister der Bundesnetzagentur - Korrektur durch Energieagentur Brandenburg (Stand: 23.03.2023) | Informationsplattform der vier deutschen Übertragungsnetzbetreiber - EEG-Jahresabrechnung - Bewegungsdaten, Energieagentur Brandenburg - eigene Aufbereitung (Stand: 03.08.2021) | Energieagentur Brandenburg - eigene Berechnung der Schätzung"
