jahr;schluessel;typ;gemeinde;amt_id;amt;landkreis_id;landkreis;region_id;region;einwohner_gesamt_anzahl;co2einsparung_stromerzeugung_alle_tco2e;co2einsparung_stromerzeugung_biomasse_tco2e;co2einsparung_stromerzeugung_photovoltaik_tco2e;co2einsparung_stromerzeugung_wind_tco2e;co2einsparung_waermeerzeugung_alle_tco2e;co2einsparung_waermeerzeugung_bimschg_tco2e;co2einsparung_waermeerzeugung_biomasse_tco2e;co2einsparung_waermeerzeugung_solarthermie_tco2e;co2einsparung_waermeerzeugung_waermepumpen_tco2e;leistung_stromerzeugung_alle_kw;leistung_stromerzeugung_biomasse_kw;leistung_stromerzeugung_photovoltaik_kw;leistung_stromerzeugung_wind_kw;leistung_waermeerzeugung_alle_kw;leistung_waermeerzeugung_bimschg_kw;leistung_waermeerzeugung_biomasse_kw;leistung_waermeerzeugung_solarthermie_kw;leistung_waermeerzeugung_waermepumpen_kw;menge_stromerzeugung_alle_mwh;menge_stromerzeugung_biomasse_mwh;menge_stromerzeugung_photovoltaik_mwh;menge_stromerzeugung_wind_mwh;menge_waermeerzeugung_alle_mwh;menge_waermeerzeugung_bimschg_mwh;menge_waermeerzeugung_biomasse_mwh;menge_waermeerzeugung_solarthermie_mwh;menge_waermeerzeugung_waermepumpen_mwh;stromerzeugung_zeitreihe_quelle
2010;12069020;"Amtsfreie Stadt";"Bad Belzig";;;12069000;Potsdam-Mittelmark;1;Havelland-Fläming;11248;9358,5841613670;7808,6259600000;1513,2585413670;0,0000000000;580,4535170000;0,0000000000;423,7417800000;124,8943514000;31,8173856000;1189,6820000000;0,0000000000;1189,6820000000;0,0000000000;196,6000000000;0,0000000000;120,0000000000;58,6000000000;18,0000000000;10062,9937219000;8396,3720000000;1627,1597219000;0,0000000000;1928,4170000000;0,0000000000;1407,7800000000;414,9314000000;105,7056000000;"Marktstammdatenregister der Bundesnetzagentur (Stand: 14.12.2021), Marktstammdatenregister der Bundesnetzagentur - Aktualisierung (Stand: 13.03.2023), Marktstammdatenregister der Bundesnetzagentur - Korrektur durch Energieagentur Brandenburg (Stand: 23.03.2023), 50Hertz Transmission GmbH - EEG-Jahresabrechnung - Bewegungsdaten (Stand: 01.05.2015), Energieagentur Brandenburg - eigene Berechnung der Schätzung, Energieagentur Brandenburg - eigene Berechnung, Landesamt für Umwelt Brandenburg - fachliche Unterstützung (Stand: 12.11.2021)"
2011;12069020;"Amtsfreie Stadt";"Bad Belzig";;;12069000;Potsdam-Mittelmark;1;Havelland-Fläming;11161;8078,2919445492;5232,2730240000;2817,9652905492;0,0000000000;568,2927181000;0,0000000000;411,7519800000;127,4062327000;29,1345054000;2248,7280000000;0,0000000000;2233,7280000000;0,0000000000;115,1000000000;0,0000000000;62,0000000000;53,1000000000;0,0000000000;8539,4206602000;5530,9440000000;2978,8216602000;0,0000000000;2097,0211000000;0,0000000000;1519,3800000000;470,1337000000;107,5074000000;"Marktstammdatenregister der Bundesnetzagentur (Stand: 14.12.2021), Marktstammdatenregister der Bundesnetzagentur - Aktualisierung (Stand: 13.03.2023), Marktstammdatenregister der Bundesnetzagentur - Korrektur durch Energieagentur Brandenburg (Stand: 23.03.2023), 50Hertz Transmission GmbH - EEG-Jahresabrechnung - Bewegungsdaten (Stand: 15.02.2013), Energieagentur Brandenburg - eigene Berechnung der Schätzung, Energieagentur Brandenburg - eigene Berechnung, Landesamt für Umwelt Brandenburg - fachliche Unterstützung (Stand: 12.11.2021)"
2012;12069020;"Amtsfreie Stadt";"Bad Belzig";;;12069000;Potsdam-Mittelmark;1;Havelland-Fläming;11119;9630,6449167214;5983,3693720000;3640,7166867214;0,0000000000;788,4040216000;0,0000000000;566,5262400000;151,3890520000;70,4887296000;1140,0300000000;400,0000000000;740,0300000000;0,0000000000;420,5000000000;0,0000000000;219,2000000000;98,7000000000;102,6000000000;10400,2644889000;6461,5220000000;3931,6594889000;0,0000000000;2663,5271000000;0,0000000000;1913,9400000000;511,4495000000;238,1376000000;"Marktstammdatenregister der Bundesnetzagentur (Stand: 14.12.2021), Marktstammdatenregister der Bundesnetzagentur - Aktualisierung (Stand: 13.03.2023), Marktstammdatenregister der Bundesnetzagentur - Korrektur durch Energieagentur Brandenburg (Stand: 23.03.2023), 50Hertz Transmission GmbH - EEG-Jahresabrechnung - Bewegungsdaten (Stand: 05.09.2013), Energieagentur Brandenburg - eigene Berechnung der Schätzung, Energieagentur Brandenburg - eigene Berechnung, Landesamt für Umwelt Brandenburg - fachliche Unterstützung (Stand: 12.11.2021)"
2013;12069020;"Amtsfreie Stadt";"Bad Belzig";;;12069000;Potsdam-Mittelmark;1;Havelland-Fläming;11056;10267,3031897422;5784,7287900000;4462,2489957422;0,0000000000;1004,6894180000;0,0000000000;764,2090800000;155,9253710000;84,5549670000;174,1500000000;0,0000000000;174,1500000000;0,0000000000;461,3000000000;0,0000000000;361,4000000000;66,8000000000;33,1000000000;10957,6341406000;6173,6700000000;4762,2721406000;0,0000000000;3371,4410000000;0,0000000000;2564,4600000000;523,2395000000;283,7415000000;"Marktstammdatenregister der Bundesnetzagentur (Stand: 14.12.2021), Marktstammdatenregister der Bundesnetzagentur - Aktualisierung (Stand: 13.03.2023), Marktstammdatenregister der Bundesnetzagentur - Korrektur durch Energieagentur Brandenburg (Stand: 23.03.2023), 50Hertz Transmission GmbH - EEG-Jahresabrechnung - Bewegungsdaten (Stand: 29.07.2014), Energieagentur Brandenburg - eigene Berechnung der Schätzung, Energieagentur Brandenburg - eigene Berechnung, Landesamt für Umwelt Brandenburg - fachliche Unterstützung (Stand: 12.11.2021)"
2014;12069020;"Amtsfreie Stadt";"Bad Belzig";;;12069000;Potsdam-Mittelmark;1;Havelland-Fläming;10916;11918,3008415400;6809,1459000000;5085,0287415400;0,0000000000;1329,1801363200;0,0000000000;1048,7635200000;166,9394416000;113,4771747200;188,8500000000;37,0000000000;151,8500000000;0,0000000000;581,1000000000;0,0000000000;491,9000000000;22,3000000000;66,9000000000;12545,5798332000;7167,5220000000;5352,6618332000;0,0000000000;4372,3030800000;0,0000000000;3449,8800000000;549,1429000000;373,2801800000;"Marktstammdatenregister der Bundesnetzagentur (Stand: 14.12.2021), Marktstammdatenregister der Bundesnetzagentur - Aktualisierung (Stand: 13.03.2023), Marktstammdatenregister der Bundesnetzagentur - Korrektur durch Energieagentur Brandenburg (Stand: 23.03.2023), 50Hertz Transmission GmbH - EEG-Jahresabrechnung - Bewegungsdaten (Stand: 01.05.2015), Energieagentur Brandenburg - eigene Berechnung der Schätzung, Energieagentur Brandenburg - eigene Berechnung, Landesamt für Umwelt Brandenburg - fachliche Unterstützung (Stand: 12.11.2021)"
2015;12069020;"Amtsfreie Stadt";"Bad Belzig";;;12069000;Potsdam-Mittelmark;1;Havelland-Fläming;11120;12553,7369179584;7047,8131760000;5472,2324949584;0,0000000000;1445,7034084400;0,0000000000;1158,0544800000;169,8558160000;117,7931124400;181,6150000000;0,0000000000;181,6150000000;0,0000000000;337,6000000000;0,0000000000;286,7000000000;29,3000000000;21,6000000000;12982,1477952000;7288,3280000000;5658,9787952000;0,0000000000;4951,0390700000;0,0000000000;3965,9400000000;581,6980000000;403,4010700000;"Marktstammdatenregister der Bundesnetzagentur (Stand: 14.12.2021), Marktstammdatenregister der Bundesnetzagentur - Aktualisierung (Stand: 13.03.2023), Marktstammdatenregister der Bundesnetzagentur - Korrektur durch Energieagentur Brandenburg (Stand: 23.03.2023), 50Hertz Transmission GmbH - EEG-Jahresabrechnung - Bewegungsdaten (Stand: 01.09.2016), Energieagentur Brandenburg - eigene Berechnung der Schätzung, Energieagentur Brandenburg - eigene Berechnung, Landesamt für Umwelt Brandenburg - fachliche Unterstützung (Stand: 12.11.2021)"
2016;12069020;"Amtsfreie Stadt";"Bad Belzig";;;12069000;Potsdam-Mittelmark;1;Havelland-Fläming;11113;12082,8542832750;6445,9652500000;5597,3537732750;0,0000000000;1629,7328419200;0,0000000000;1341,7228800000;172,1876544000;115,8223075200;107,1750000000;0,0000000000;107,1750000000;0,0000000000;453,7000000000;0,0000000000;384,9000000000;68,8000000000;0,0000000000;12456,5508075000;6645,3250000000;5770,4678075000;0,0000000000;5658,7945900000;0,0000000000;4658,7600000000;597,8738000000;402,1607900000;"Marktstammdatenregister der Bundesnetzagentur (Stand: 14.12.2021), Marktstammdatenregister der Bundesnetzagentur - Aktualisierung (Stand: 13.03.2023), Marktstammdatenregister der Bundesnetzagentur - Korrektur durch Energieagentur Brandenburg (Stand: 23.03.2023), 50Hertz Transmission GmbH - EEG-Jahresabrechnung - Bewegungsdaten (Stand: 17.10.2017), Energieagentur Brandenburg - eigene Berechnung der Schätzung, Energieagentur Brandenburg - eigene Berechnung, Landesamt für Umwelt Brandenburg - fachliche Unterstützung (Stand: 12.11.2021)"
2017;12069020;"Amtsfreie Stadt";"Bad Belzig";;;12069000;Potsdam-Mittelmark;1;Havelland-Fläming;11126;12240,8847818330;6564,8303450000;5651,1535768330;0,0000000000;2015,8474443200;0,0000000000;1681,7832000000;183,2532152000;150,8110291200;844,8250000000;0,0000000000;844,8250000000;0,0000000000;686,4000000000;0,0000000000;568,3000000000;38,0000000000;80,1000000000;12684,8546962000;6802,9330000000;5856,1176962000;0,0000000000;6810,2954200000;0,0000000000;5681,7000000000;619,0987000000;509,4967200000;"Marktstammdatenregister der Bundesnetzagentur (Stand: 14.12.2021), Marktstammdatenregister der Bundesnetzagentur - Aktualisierung (Stand: 13.03.2023), Marktstammdatenregister der Bundesnetzagentur - Korrektur durch Energieagentur Brandenburg (Stand: 23.03.2023), Informationsplattform der vier deutschen Übertragungsnetzbetreiber - EEG-Jahresabrechnung - Bewegungsdaten, Energieagentur Brandenburg - eigene Aufbereitung (Stand: 02.11.2018), Energieagentur Brandenburg - eigene Berechnung der Schätzung, Energieagentur Brandenburg - eigene Berechnung, Landesamt für Umwelt Brandenburg - fachliche Unterstützung (Stand: 12.11.2021)"
2018;12069020;"Amtsfreie Stadt";"Bad Belzig";;;12069000;Potsdam-Mittelmark;1;Havelland-Fläming;11144;13285,8389642700;6057,6332000000;7215,1024142700;0,0000000000;2173,2332232600;0,0000000000;1794,3849000000;213,9591861000;164,8891371600;2206,4000000000;0,0000000000;2206,4000000000;0,0000000000;299,0000000000;0,0000000000;200,0000000000;65,7000000000;33,3000000000;13985,0936466000;6376,4560000000;7594,8446466000;0,0000000000;7317,2835800000;0,0000000000;6041,7000000000;720,4013000000;555,1822800000;"Marktstammdatenregister der Bundesnetzagentur (Stand: 14.12.2021), Marktstammdatenregister der Bundesnetzagentur - Aktualisierung (Stand: 13.03.2023), Marktstammdatenregister der Bundesnetzagentur - Korrektur durch Energieagentur Brandenburg (Stand: 23.03.2023), Informationsplattform der vier deutschen Übertragungsnetzbetreiber - EEG-Jahresabrechnung - Bewegungsdaten, Energieagentur Brandenburg - eigene Aufbereitung (Stand: 02.08.2019), Energieagentur Brandenburg - eigene Berechnung der Schätzung, Energieagentur Brandenburg - eigene Berechnung, Landesamt für Umwelt Brandenburg - fachliche Unterstützung (Stand: 12.11.2021)"
2019;12069020;"Amtsfreie Stadt";"Bad Belzig";;;12069000;Potsdam-Mittelmark;1;Havelland-Fläming;11141;15467,6520649872;7352,0433120912;8100,2524968960;0,0000000000;2151,9869117600;0,0000000000;1760,0688000000;184,8939932000;207,0241185600;4135,8100000000;600,0000000000;3535,8100000000;0,0000000000;419,0000000000;0,0000000000;319,5000000000;27,6000000000;71,9000000000;16960,1448081000;8061,4510001000;8881,8558080000;0,0000000000;8090,1763600000;0,0000000000;6616,8000000000;695,0902000000;778,2861600000;"Marktstammdatenregister der Bundesnetzagentur (Stand: 14.12.2021), Marktstammdatenregister der Bundesnetzagentur - Aktualisierung (Stand: 13.03.2023), Marktstammdatenregister der Bundesnetzagentur - Korrektur durch Energieagentur Brandenburg (Stand: 23.03.2023), Informationsplattform der vier deutschen Übertragungsnetzbetreiber - EEG-Jahresabrechnung - Bewegungsdaten, Energieagentur Brandenburg - eigene Aufbereitung (Stand: 31.08.2020), Energieagentur Brandenburg - eigene Berechnung der Schätzung, Energieagentur Brandenburg - eigene Berechnung, Landesamt für Umwelt Brandenburg - fachliche Unterstützung (Stand: 12.12.2022)"
2020;12069020;"Amtsfreie Stadt";"Bad Belzig";;;12069000;Potsdam-Mittelmark;1;Havelland-Fläming;11096;19746,3662578110;7787,8941540000;11947,4785858110;0,0000000000;2570,5390348800;0,0000000000;2098,4313600000;214,5115008000;257,5961740800;2594,2330000000;0,0000000000;2594,2330000000;0,0000000000;540,5000000000;0,0000000000;371,9000000000;79,6000000000;89,0000000000;22087,6580065000;8711,2910000000;13364,0700065000;0,0000000000;8925,4827600000;0,0000000000;7286,2200000000;744,8316000000;894,4311600000;"Marktstammdatenregister der Bundesnetzagentur (Stand: 14.12.2021), Marktstammdatenregister der Bundesnetzagentur - Aktualisierung (Stand: 13.03.2023), Marktstammdatenregister der Bundesnetzagentur - Korrektur durch Energieagentur Brandenburg (Stand: 23.03.2023), Informationsplattform der vier deutschen Übertragungsnetzbetreiber - EEG-Jahresabrechnung - Bewegungsdaten, Energieagentur Brandenburg - eigene Aufbereitung (Stand: 03.08.2021), Energieagentur Brandenburg - eigene Berechnung der Schätzung, Energieagentur Brandenburg - eigene Berechnung, Landesamt für Umwelt Brandenburg - fachliche Unterstützung (Stand: 12.12.2022)"
